MetadataComponentId,MetadataComponentName,MetadataComponentType,RefMetadataComponentId,RefMetadataComponentName,RefMetadataComponentType
0Rb4O000000PBCESA4,promotionalSalesAgreementTileList,LightningComponentBundle,0Rb1B0000008OIiSAM,placeholder,LightningComponentBundle
0Rb4O000000PBCESA4,promotionalSalesAgreementTileList,LightningComponentBundle,0Rb4O000000PBCDSA4,promotionalSalesAgreementTile,LightningComponentBundle
0Rb4O000000PBC5SAO,brandTile,LightningComponentBundle,0Rb1B0000008OIjSAM,pubsub,LightningComponentBundle
0Rb4O000000PBC6SAO,productTile,LightningComponentBundle,0Rb1B0000008OIjSAM,pubsub,LightningComponentBundle
0Rb4O000000PBC7SAO,promotionalSalesAgreement,LightningComponentBundle,0Rb1B0000008OIfSAM,inlineMessage,LightningComponentBundle
0Rb4O000000PBC7SAO,promotionalSalesAgreement,LightningComponentBundle,0Rb1B0000008OIhSAM,paginator,LightningComponentBundle
0Rb4O000000PBC7SAO,promotionalSalesAgreement,LightningComponentBundle,0Rb4O000000PBC3SAO,accountTile,LightningComponentBundle
0Rb4O000000PBC7SAO,promotionalSalesAgreement,LightningComponentBundle,0Rb1B0000008OIjSAM,pubsub,LightningComponentBundle
0Rb4O000000PBC3SAO,accountTile,LightningComponentBundle,0Rb1B0000008OIjSAM,pubsub,LightningComponentBundle
0Rb4O000000PBC8SAO,promotionalSalesAgreementActuals,LightningComponentBundle,0Rb4O000000PBC9SAO,promotionalSalesAgreementActualsForm,LightningComponentBundle
0Rb4O000000PCLLSA4,accountAudit,LightningComponentBundle,0Rb4O0000008OPkSAM,errorPanel,LightningComponentBundle
0Rb4O000000PCPySAO,mybfNewsItem,LightningComponentBundle,0Rb4O000000PCPsSAO,mybfCss,LightningComponentBundle
0Rb4O000000PCPrSAO,mybfContainer,LightningComponentBundle,0Rb4O000000PCPuSAO,mybfFooter,LightningComponentBundle
0Rb4O000000PCPrSAO,mybfContainer,LightningComponentBundle,0Rb4O000000PCPvSAO,mybfMessage,LightningComponentBundle
0Rb4O000000PCPrSAO,mybfContainer,LightningComponentBundle,0Rb4O000000PCQ0SAO,mybfStoryCarousel,LightningComponentBundle
0Rb4O000000PCPrSAO,mybfContainer,LightningComponentBundle,0Rb4O000000PCQ1SAO,mybfTodayAtBF,LightningComponentBundle
0Rb4O000000PCPrSAO,mybfContainer,LightningComponentBundle,0Rb4O000000PCPsSAO,mybfCss,LightningComponentBundle
0Rb4O000000PCPvSAO,mybfMessage,LightningComponentBundle,0Rb1B0000008OIjSAM,pubsub,LightningComponentBundle
0Rb4O000000PCPwSAO,mybfNewsFeed,LightningComponentBundle,0Rb4O000000PCPsSAO,mybfCss,LightningComponentBundle
0Rb4O000000PCPwSAO,mybfNewsFeed,LightningComponentBundle,0Rb4O000000PCPxSAO,mybfNewsFeedItem,LightningComponentBundle
0Rb4O000000PCPwSAO,mybfNewsFeed,LightningComponentBundle,0Rb1B0000008OIjSAM,pubsub,LightningComponentBundle
0Rb4O000000PCPxSAO,mybfNewsFeedItem,LightningComponentBundle,0Rb1B0000008OIjSAM,pubsub,LightningComponentBundle
0Rb4O000000PCPxSAO,mybfNewsFeedItem,LightningComponentBundle,0Rb4O000000PCPsSAO,mybfCss,LightningComponentBundle
0Rb4O000000PCQ0SAO,mybfStoryCarousel,LightningComponentBundle,0Rb4O000000PCPsSAO,mybfCss,LightningComponentBundle
0Rb4O000000PCQ1SAO,mybfTodayAtBF,LightningComponentBundle,0Rb4O000000PCPwSAO,mybfNewsFeed,LightningComponentBundle
0Rb4O000000PCQ1SAO,mybfTodayAtBF,LightningComponentBundle,0Rb4O000000PCPsSAO,mybfCss,LightningComponentBundle
0Rb4O000000PCQ1SAO,mybfTodayAtBF,LightningComponentBundle,0Rb1B0000008OIjSAM,pubsub,LightningComponentBundle
